,,,,,,,,,,,,VIP scores from the PLS-DA analysis,,,,
Protein,Accession Number,Protein Name,Peptides per protein,Mean COVID+,Mean COVID-,Median COVID+,Median COVID-,%CV COVID+,%CV COVID-,Mann-Whitney U Test p value,Fold Change,Comp. 1,Comp. 2,Comp. 3,Comp. 4,Comp. 5
sp|Q99536|VAT1_HUMAN,Q99536,Synaptic vesicle membrane protein VAT-1 homolog,9,0.000306899,0.000362469,0.000248992,0.000341859,50.64038399,45.31849308,0.5481,0.73,0.55076,0.63494,0.64801,0.64786,0.64774
sp|P07339|CATD_HUMAN,P07339,Cathepsin D,7,0.000403426,0.000320629,0.000372962,0.000292874,41.90710963,53.55145706,0.2221,1.27,0.76107,0.85592,0.85486,0.85567,0.85557
sp|P30101|PDIA3_HUMAN,P30101,Protein disulfide-isomerase A3,5,6.27358E-05,5.05763E-05,4.83448E-05,4.5089E-05,47.72097642,34.41382688,0.6901,1.07,0.75869,0.73734,0.73587,0.73713,0.7388
sp|P27797|CALR_HUMAN,P27797,Calreticulin,8,0.000267804,0.000387067,0.000194814,0.000436806,61.60469224,39.30124763,0.2221,0.45,1.1332,1.1728,1.1684,1.1684,1.1681
sp|P17213|BPI_HUMAN,P17213,Bactericidal permeability-increasing protein,9,0.000317517,0.000511767,0.000211426,0.00046385,73.23780499,54.08633833,0.4211,0.46,1.1103,1.1883,1.182,1.1804,1.1802
sp|P32926|DSG3_HUMAN,P32926,Desmoglein-3,9,0.000634606,0.000537783,0.000669336,0.000385593,32.14498427,79.75916461,0.2221,1.74,0.44963,0.52986,0.52701,0.52812,0.53011
sp|P05109|S10A8_HUMAN,P05109,Protein S100-A8,8,0.009348758,0.003469196,0.001864445,0.000470335,162.2566302,152.2891908,0.3101,3.96,0.78523,0.75555,0.76313,0.76561,0.76539
sp|O00391|QSOX1_HUMAN,O00391,Sulfhydryl oxidase 1,5,0.000120951,7.77357E-05,0.000111477,6.4377E-05,25.39397914,44.11851663,0.1511,1.73,1.7718,1.7171,1.7097,1.7085,1.7082
sp|P37837|TALDO_HUMAN,P37837,Transaldolase,9,0.00109038,0.001078643,0.000833554,0.001150397,72.75551989,40.05817951,0.6901,0.72,0.014963,0.16325,0.21342,0.22227,0.22381
sp|P24158|PRTN3_HUMAN,P24158,Myeloblastin,9,0.003960325,0.005110526,0.003229382,0.004988934,99.4578571,67.40769461,0.4211,0.65,0.51469,0.51456,0.52617,0.52744,0.52835
sp|P51149|RAB7A_HUMAN,P51149,Ras-related protein Rab-7a,8,0.000460688,0.000362617,0.000444738,0.000415702,39.94072871,48.74631571,0.6901,1.07,0.81964,0.7817,0.81345,0.81249,0.81243
sp|P40926|MDHM_HUMAN,P40926,"Malate dehydrogenase, mitochondrial",8,0.00063787,0.000514198,0.000676667,0.000435179,33.05767531,47.84298572,0.8411,1.55,0.85237,0.91285,0.9078,0.9072,0.90698
sp|P63104|1433Z_HUMAN,P63104,14-3-3 protein zeta/delta,5,0.000319038,0.000476834,0.000184367,0.000426365,72.79192301,27.69886411,0.3101,0.43,1.2221,1.274,1.2678,1.2661,1.2657
sp|P46940|IQGA1_HUMAN,P46940,Ras GTPase-activating-like protein IQGAP1,4,8.50744E-05,0.000132035,7.03633E-05,0.000114362,76.33823652,52.95230086,0.3101,0.62,1.0087,1.085,1.0823,1.0809,1.0806
sp|P07900|HS90A_HUMAN,P07900,Heat shock protein HSP 90-alpha,4,6.08622E-05,3.86191E-05,4.23136E-05,2.8716E-05,93.78150516,74.2539724,0.4211,1.47,0.76115,0.73102,0.73986,0.74271,0.7426
sp|P01859|IGHG2_HUMAN,P01859,Immunoglobulin heavy constant gamma 2,6,0.005146234,0.005996541,0.001542369,0.003956818,143.0658541,81.80346454,0.3101,0.39,0.24982,0.33301,0.38501,0.38517,0.38577
sp|Q96G03|PGM2_HUMAN,Q96G03,Phosphoglucomutase-2,6,0.000165995,0.000150859,0.000180941,8.43181E-05,40.5862176,90.55272157,0.4211,2.15,0.23865,0.45696,0.46187,0.46131,0.4633
sp|P07737|PROF1_HUMAN,P07737,Profilin-1,8,0.001182419,0.000967185,0.000524613,0.000495018,111.4564313,70.55723784,1.0001,1.06,0.32236,0.3103,0.33663,0.3482,0.3481
sp|P13928|ANXA8_HUMAN,P13928,Annexin A8,4,0.000148989,0.000165027,0.000167755,0.000161395,48.98459733,47.72927052,0.6901,1.04,0.37183,0.63524,0.63557,0.63584,0.63589
sp|P07602|SAP_HUMAN,P07602,Prosaposin,3,6.27255E-05,3.64282E-05,4.33785E-05,1.19635E-05,65.05339773,124.6481491,0.3101,3.63,0.86806,0.83232,0.83054,0.83051,0.83044
sp|O43490|PROM1_HUMAN,O43490,Prominin-1,5,8.78315E-05,5.96072E-05,6.91564E-05,5.90432E-05,53.57563091,64.30829287,0.4211,1.17,1.0278,1.0787,1.0752,1.0737,1.0734
sp|P01036|CYTS_HUMAN,P01036,Cystatin-S,2,0.000206083,0.000208561,0.000230359,0.000232197,55.20803431,51.66202541,1.0001,0.99,0.046379,0.53283,0.53002,0.53104,0.53095
sp|O60218|AK1BA_HUMAN,O60218,Aldo-keto reductase family 1 member B10,10,0.001904359,0.000908688,0.001800657,0.000598848,58.9193622,86.41103845,0.1511,3.01,1.431,1.4069,1.4027,1.4015,1.4014
sp|Q14515|SPRL1_HUMAN,Q14515,SPARC-like protein 1,5,0.000120792,5.55909E-05,0.000148208,4.86819E-05,36.96107966,29.18370561,0.0561,3.04,2.1064,2.0218,2.0107,2.0093,2.0089
sp|Q86T26|TM11B_HUMAN,Q86T26,Transmembrane protease serine 11B,6,0.000236211,0.000321937,0.000282941,0.000251276,46.69982497,100.2970061,0.6901,1.13,0.55755,0.65223,0.64864,0.65062,0.65171
sp|P13797|PLST_HUMAN,P13797,Plastin-3,8,0.000210206,0.00027062,0.000218417,0.000142388,26.05526202,84.07296342,1.0001,1.53,0.54992,0.52385,0.52859,0.52952,0.53002
sp|P10909|CLUS_HUMAN,P10909,Clusterin,8,0.000444225,0.000300346,0.000429527,0.000232222,40.05560995,59.37590571,0.2221,1.85,1.1931,1.1404,1.1355,1.136,1.1362
sp|P30086|PEBP1_HUMAN,P30086,Phosphatidylethanolamine-binding protein 1,7,0.000477298,0.00041307,0.00043415,0.000426953,32.99575855,37.7104077,0.8411,1.02,0.59948,0.78971,0.78691,0.78615,0.78609
sp|O00748|EST2_HUMAN,O00748,Cocaine esterase,6,0.000221587,0.000204021,0.000202756,0.000159119,57.74420836,48.02180559,0.6901,1.27,0.20274,0.63701,0.63987,0.63914,0.63901
sp|P09958|FURIN_HUMAN,P09958,Furin,6,0.000100261,9.61657E-05,7.96714E-05,0.000103886,56.78189424,41.49573185,1.0001,0.77,0.15467,0.26506,0.26786,0.26877,0.26941
sp|P00915|CAH1_HUMAN,P00915,Carbonic anhydrase 1,10,0.000841754,0.000313145,0.000103939,0.000150771,195.3884348,125.4498583,0.6901,0.69,0.69275,0.67946,0.68015,0.67975,0.68057
sp|P23528|COF1_HUMAN,P23528,Cofilin-1,6,0.000191086,0.000174713,0.000111178,0.000185645,81.79826691,44.3007581,0.8411,0.60,0.19995,0.1929,0.31585,0.31553,0.31621
sp|P48595|SPB10_HUMAN,P48595,Serpin B10,6,9.08513E-05,0.000124668,7.53145E-05,8.02773E-05,44.50351999,64.90121246,0.8411,0.94,0.83504,0.81651,0.8121,0.81697,0.81673
sp|Q06830|PRDX1_HUMAN,Q06830,Peroxiredoxin-1,5,0.000387327,0.000325156,0.000387312,0.000311578,33.82008721,38.49699582,0.5481,1.24,0.77069,0.84081,0.83751,0.83674,0.83674
sp|P61160|ARP2_HUMAN,P61160,Actin-related protein 2,5,0.000201248,0.000145361,0.00016223,0.000130216,75.19365672,34.16856354,0.5481,1.25,0.76713,0.7337,0.75271,0.75298,0.75277
sp|P36871|PGM1_HUMAN,P36871,Phosphoglucomutase-1,5,0.000144453,0.000179324,4.54932E-05,7.98703E-05,98.03219352,133.1164441,0.4211,0.57,0.28567,0.29169,0.33446,0.35208,0.35236
sp|P18669|PGAM1_HUMAN,P18669,Phosphoglycerate mutase 1,5,0.000114867,0.000153666,6.09504E-05,0.000133044,81.37302506,56.519982,0.4211,0.46,0.65875,0.64823,0.67432,0.67343,0.67327
sp|P52907|CAZA1_HUMAN,P52907,F-actin-capping protein subunit alpha-1,7,0.000180737,0.000111752,0.00012265,7.5991E-05,96.64502385,61.11557956,0.6901,1.61,0.79328,0.76491,0.77095,0.77426,0.77403
sp|P09525|ANXA4_HUMAN,P09525,Annexin A4,5,0.000107906,0.000117647,0.000108394,0.00011999,39.29397848,55.75207092,0.8411,0.90,0.2715,0.32499,0.33785,0.34086,0.34138
sp|P30041|PRDX6_HUMAN,P30041,Peroxiredoxin-6,7,0.000335758,0.000226354,0.000322926,0.000194517,33.25732377,44.94190815,0.2221,1.66,1.4208,1.3574,1.3502,1.3481,1.3484
sp|P23284|PPIB_HUMAN,P23284,Peptidyl-prolyl cis-trans isomerase B,6,0.000547708,0.001065166,0.000178158,0.000479439,106.6644491,96.10446839,0.4211,0.37,0.95942,0.91848,0.92044,0.92082,0.92055
sp|P50995|ANX11_HUMAN,P50995,Annexin A11,4,0.000130216,9.40437E-05,0.000129921,7.08623E-05,26.48780796,59.97961633,0.2221,1.83,1.1277,1.0741,1.0773,1.0757,1.0755
sp|P22314|UBA1_HUMAN,P22314,Ubiquitin-like modifier-activating enzyme 1,2,2.23689E-05,2.4322E-05,2.14055E-05,2.04451E-05,31.62499677,33.76580839,1.0001,1.05,0.32794,0.35564,0.43497,0.45556,0.45744
sp|Q14624|ITIH4_HUMAN,Q14624,Inter-alpha-trypsin inhibitor heavy chain H4,9,0.000126269,0.000173957,0.000124788,0.00015666,19.33229509,62.67787777,0.6901,0.80,0.93281,0.92273,0.92734,0.92853,0.92855
sp|Q9UHG3|PCYOX_HUMAN,Q9UHG3,Prenylcysteine oxidase 1,5,0.000118273,0.000117326,0.000116115,0.000109543,27.38813851,59.52121305,0.8411,1.06,0.023341,0.41213,0.42117,0.42264,0.42572
sp|P40121|CAPG_HUMAN,P40121,Macrophage-capping protein,7,0.000202995,0.000222258,0.000141668,0.000221249,48.9958506,45.20319331,0.8411,0.64,0.27789,0.5438,0.5408,0.54205,0.54351
sp|P34932|HSP74_HUMAN,P34932,Heat shock 70 kDa protein 4,4,4.77333E-05,3.49223E-05,4.79053E-05,4.43873E-05,24.13160633,42.85044898,0.1511,1.08,1.3576,1.3188,1.3171,1.3161,1.3165
sp|Q01469|FABP5_HUMAN,Q01469,Fatty acid-binding protein 5,3,9.29606E-05,0.000192157,8.78768E-05,0.000156755,25.34469051,67.98252695,0.0561,0.56,1.4989,1.4736,1.4661,1.4644,1.4643
sp|O75083|WDR1_HUMAN,O75083,WD repeat-containing protein 1,3,6.49161E-05,7.71264E-05,4.02302E-05,7.66532E-05,103.036839,24.39187292,0.2221,0.52,0.38828,0.44358,0.46258,0.46726,0.46719
sp|P07477|TRY1_HUMAN,P07477,Trypsin-1,2,4.26306E-05,3.42468E-05,3.91673E-05,4.05661E-05,55.73240197,32.07987967,1.0001,0.97,0.6723,0.75924,0.77148,0.77082,0.77125
sp|P01034|CYTC_HUMAN,P01034,Cystatin-C,6,0.000832519,0.000601767,0.000525622,0.000569695,113.2721054,24.91180528,0.6901,0.92,0.54392,0.57338,0.57048,0.57026,0.57036
sp|Q6P4A8|PLBL1_HUMAN,Q6P4A8,Phospholipase B-like 1,8,0.000284822,0.000170932,0.00019141,0.000160916,84.28349507,70.14783866,0.4211,1.19,0.90962,0.87288,0.87101,0.87593,0.87567
sp|Q15907|RB11B_HUMAN,Q15907,Ras-related protein Rab-11B,8,0.000274665,0.00021896,0.000150926,0.000225928,81.19721765,36.31140557,1.0001,0.67,0.54238,0.5171,0.5491,0.55114,0.55099
sp|P06870|KLK1_HUMAN,P06870,Kallikrein-1,9,0.001200175,0.000626029,0.001285715,0.000512317,49.92473225,52.05018836,0.1511,2.51,1.5639,1.4901,1.4834,1.4832,1.4828
sp|P47756|CAPZB_HUMAN,P47756,F-actin-capping protein subunit beta,9,0.000333239,0.000176056,0.000332536,0.000156654,55.21956138,22.33458758,0.3101,2.12,1.5779,1.5233,1.5156,1.5145,1.514
sp|P15311|EZRI_HUMAN,P15311,Ezrin,7,0.000498888,0.000232318,0.00048184,0.000146071,10.19381286,71.61362627,0.0561,3.30,2.2068,2.1023,2.0916,2.0886,2.0881
sp|P22894|MMP8_HUMAN,P22894,Neutrophil collagenase,5,0.000255597,0.000159021,0.000164048,0.00013419,81.95575475,52.66297643,0.5481,1.22,0.92263,0.88476,0.89223,0.89374,0.89355
sp|O60235|TM11D_HUMAN,O60235,Transmembrane protease serine 11D,7,0.000448447,0.000684566,0.000395239,0.000619358,27.43159738,61.27673432,0.4211,0.64,1.1109,1.1929,1.1866,1.185,1.1854
sp|P08758|ANXA5_HUMAN,P08758,Annexin A5,8,0.000351307,0.00044143,0.000352572,0.00050333,57.77590302,29.06357987,0.6901,0.70,0.80103,0.79041,0.79044,0.79382,0.79375
sp|P41218|MNDA_HUMAN,P41218,Myeloid cell nuclear differentiation antigen,5,8.46406E-05,0.000106947,3.68763E-05,0.000104663,123.4793883,55.82083916,0.1511,0.35,0.38807,0.44001,0.47045,0.47122,0.47154
sp|P17174|AATC_HUMAN,P17174,"Aspartate aminotransferase, cytoplasmic",3,7.23335E-05,7.29708E-05,7.30206E-05,5.94356E-05,22.91010332,64.36068851,0.5481,1.23,1.50E-16,0.27374,0.27709,0.2899,0.29184
sp|P01591|IGJ_HUMAN,P01591,Immunoglobulin J chain,8,0.005688075,0.003619209,0.003832192,0.002329036,54.29548717,66.46949162,0.2221,1.65,1.1176,1.0987,1.0947,1.0934,1.0937
sp|P78417|GSTO1_HUMAN,P78417,Glutathione S-transferase omega-1,5,0.000164402,0.0001535,0.000157837,0.000137806,19.61539015,40.401014,0.6901,1.15,0.27154,0.39543,0.40005,0.40004,0.40008
sp|P35237|SPB6_HUMAN,P35237,Serpin B6,3,8.888E-05,9.18638E-05,9.01286E-05,8.87016E-05,71.85535845,23.20045508,1.0001,1.02,0.14305,0.56753,0.56678,0.57443,0.57427
sp|P05089|ARGI1_HUMAN,P05089,Arginase-1,5,0.000167863,0.000116499,7.17748E-05,0.000103619,95.52587131,29.63010676,0.6901,0.69,0.6966,0.71821,0.71708,0.72185,0.72165
sp|Q15782|CH3L2_HUMAN,Q15782,Chitinase-3-like protein 2,4,0.000170487,7.42E-05,0.000122053,4.03695E-05,59.94702977,83.88401411,0.0951,3.02,1.5306,1.4866,1.4813,1.48,1.4795
sp|Q9UBG3|CRNN_HUMAN,Q9UBG3,Cornulin,4,5.07817E-05,4.18548E-05,5.94377E-05,3.78779E-05,45.97831172,66.04770282,0.4211,1.57,0.53835,0.56008,0.59139,0.59072,0.59062
sp|O00462|MANBA_HUMAN,O00462,Beta-mannosidase,2,1.35437E-05,1.75859E-05,7.4782E-06,1.32581E-05,82.83299335,43.05046592,0.4211,0.56,0.6386,0.68668,0.69573,0.69608,0.69807
sp|P05155|IC1_HUMAN,P05155,Plasma protease C1 inhibitor,6,0.000232475,0.000249891,0.000187966,0.000288684,51.22527709,70.55448087,1.0001,0.65,0.19449,0.27715,0.35624,0.35728,0.35736
sp|P21128|ENDOU_HUMAN,P21128,Poly(U)-specific endoribonuclease,5,0.000203494,0.000149802,0.00018959,0.000140217,52.73518544,22.74643737,0.6901,1.35,1.0097,0.98222,0.98201,0.98058,0.98029
sp|P08246|ELNE_HUMAN,P08246,Neutrophil elastase,7,0.000310272,0.000680141,0.000181943,0.000551778,125.5037278,74.36334974,0.0951,0.33,1.195,1.1472,1.1408,1.1425,1.1424
sp|P52566|GDIR2_HUMAN,P52566,Rho GDP-dissociation inhibitor 2,7,0.000278753,0.000299924,0.00018448,0.000237387,63.09433192,60.27422869,0.5481,0.78,0.19655,0.18761,0.23338,0.23983,0.23977
sp|P04217|A1BG_HUMAN,P04217,Alpha-1B-glycoprotein,8,0.000471451,0.000694391,0.000603536,0.000797184,55.24513657,43.6752389,0.3101,0.76,1.16,1.1127,1.1234,1.1233,1.1231
sp|P61019|RAB2A_HUMAN,P61019,Ras-related protein Rab-2A,5,0.000106328,0.000109666,0.000101747,9.20568E-05,12.91943574,52.31840317,0.6901,1.11,0.15959,0.18793,0.23296,0.25541,0.25543
sp|P02671|FIBA_HUMAN,P02671,Fibrinogen alpha chain,5,0.000138064,0.000182013,0.000139562,0.000134677,49.61196727,66.19943228,0.8411,1.04,0.69309,0.66484,0.6786,0.67757,0.67739
sp|P07195|LDHB_HUMAN,P07195,L-lactate dehydrogenase B chain,6,0.000239525,0.000137601,0.000205882,0.000140109,59.75623702,24.94106849,0.0951,1.47,1.3617,1.3048,1.3007,1.3012,1.3009
sp|P07099|HYEP_HUMAN,P07099,Epoxide hydrolase 1,2,3.09668E-05,2.1945E-05,2.48657E-05,1.89358E-05,61.0457667,36.09903396,0.6901,1.31,0.97432,1.059,1.0606,1.0591,1.0589
sp|Q6UX06|OLFM4_HUMAN,Q6UX06,Olfactomedin-4,6,0.000467145,0.000311447,0.000330077,0.000227232,91.64316003,49.29814787,0.8411,1.45,0.76605,0.73645,0.76015,0.75948,0.75984
sp|P02763|A1AG1_HUMAN,P02763,Alpha-1-acid glycoprotein 1,5,0.000279327,0.000315304,0.000335242,0.000127617,57.11256469,120.3089822,0.6901,2.63,0.18212,0.29928,0.30503,0.30483,0.30486
sp|P04792|HSPB1_HUMAN,P04792,Heat shock protein beta-1,4,9.00242E-05,5.78908E-05,9.36985E-05,4.4109E-05,37.20955385,62.93655018,0.1511,2.12,1.3207,1.2776,1.2723,1.2715,1.2715
sp|P62805|H4_HUMAN,P62805,Histone H4,4,0.000740793,0.002044779,0.000144373,0.002089334,174.0320651,58.43061828,0.0951,0.07,1.4655,1.4076,1.4002,1.4004,1.4003
sp|Q9UKR3|KLK13_HUMAN,Q9UKR3,Kallikrein-13,7,0.000197058,0.000194692,0.000149643,0.0001439,54.97590089,85.70581938,0.6901,1.04,0.043582,0.30591,0.30444,0.30864,0.31038
sp|P19823|ITIH2_HUMAN,P19823,Inter-alpha-trypsin inhibitor heavy chain H2,4,5.66655E-05,5.82403E-05,3.7361E-05,2.40444E-05,114.0032289,105.9984552,1.0001,1.55,0.035622,0.596,0.59437,0.59592,0.59584
sp|P08311|CATG_HUMAN,P08311,Cathepsin G,2,9.2312E-05,8.77271E-05,7.24448E-05,6.27308E-05,87.42484395,50.15400927,1.0001,1.15,0.10962,0.19817,0.21207,0.2348,0.23483
sp|P61586|RHOA_HUMAN,P61586,Transforming protein RhoA,4,0.000186314,5.42858E-05,7.24452E-05,4.56234E-05,95.84988755,53.7114187,0.1511,1.59,1.4406,1.3745,1.3687,1.3678,1.3678
sp|P23526|SAHH_HUMAN,P23526,Adenosylhomocysteinase,2,3.60635E-05,2.23904E-05,3.46245E-05,1.71261E-05,56.7778313,82.50289768,0.4211,2.02,1.0555,1.0733,1.069,1.069,1.069
sp|O00299|CLIC1_HUMAN,O00299,Chloride intracellular channel protein 1,4,0.000152777,7.86676E-05,0.00012047,8.40799E-05,47.50040449,43.42279226,0.0561,1.43,1.6597,1.5889,1.5832,1.5817,1.5813
sp|P09917|LOX5_HUMAN,P09917,Polyunsaturated fatty acid 5-lipoxygenase,2,5.25193E-05,4.74243E-05,4.18576E-05,4.17869E-05,44.12661492,45.76504492,1.0001,1.00,0.37067,0.35991,0.39842,0.39783,0.40043
sp|P69891|HBG1_HUMAN,P69891,Hemoglobin subunit gamma-1,4,8.75473E-05,3.76063E-05,5.68419E-05,3.1851E-05,98.76397215,32.71975595,0.2221,1.78,1.1864,1.1343,1.1292,1.1276,1.1276
sp|P30044|PRDX5_HUMAN,P30044,"Peroxiredoxin-5, mitochondrial",5,0.000220693,0.000218635,0.000245254,0.000175207,48.93492785,41.30678976,1.0001,1.40,0.016289,0.10262,0.19988,0.22173,0.22279
sp|P09758|TACD2_HUMAN,P09758,Tumor-associated calcium signal transducer 2,4,0.000103447,9.42512E-05,0.000109229,0.000116334,38.36095741,54.8549785,1.0001,0.94,0.24184,0.45841,0.4602,0.46215,0.46209
sp|Q13510|ASAH1_HUMAN,Q13510,Acid ceramidase,5,0.000192057,0.000136757,0.000178367,0.00012048,25.2181082,32.69050413,0.2221,1.48,1.5836,1.5556,1.5474,1.5452,1.5448
sp|P40925|MDHC_HUMAN,P40925,"Malate dehydrogenase, cytoplasmic",7,0.000495159,0.00034386,0.00040138,0.000305186,48.2753373,51.9928092,0.2221,1.32,1.0703,1.0729,1.0717,1.0702,1.0699
sp|P20160|CAP7_HUMAN,P20160,Azurocidin,7,0.000995188,0.001683922,0.00032358,0.001415145,139.8032297,69.07086889,0.5481,0.23,0.80527,0.77412,0.77285,0.77852,0.7783
sp|Q16851|UGPA_HUMAN,Q16851,UTP--glucose-1-phosphate uridylyltransferase,2,4.92978E-05,3.17113E-05,4.37205E-05,3.2844E-05,35.97505863,36.60165715,0.0951,1.33,1.5837,1.5201,1.5204,1.5188,1.5184
sp|P02749|APOH_HUMAN,P02749,Beta-2-glycoprotein 1,6,0.000256922,0.0004012,0.000294123,0.000414076,26.54351979,32.19724246,0.0951,0.71,1.7883,1.7404,1.7314,1.7291,1.7287
sp|P06702|S10A9_HUMAN,P06702,Protein S100-A9,6,0.00059492,0.000479289,0.000412346,0.000345679,96.66999454,84.19408133,0.6901,1.19,0.36873,0.35752,0.40326,0.4043,0.40425
sp|P49913|CAMP_HUMAN,P49913,Cathelicidin antimicrobial peptide,5,0.00029627,0.000358816,0.000163814,0.000330025,104.0031676,55.63737011,0.3101,0.50,0.37557,0.35969,0.38088,0.38708,0.38739
sp|P15144|AMPN_HUMAN,P15144,Aminopeptidase N,4,7.41605E-05,6.93604E-05,5.93906E-05,6.58101E-05,47.73771554,44.90393787,1.0001,0.90,0.22356,0.31294,0.31418,0.33543,0.33535
sp|Q8WXI7|MUC16_HUMAN,Q8WXI7,Mucin-16,2,3.69182E-05,4.45981E-05,2.85752E-05,3.24877E-05,51.21853927,77.93872693,0.8411,0.88,0.43127,0.45539,0.45678,0.45891,0.45924
sp|P02766|TTHY_HUMAN,P02766,Transthyretin,4,6.47356E-05,8.56878E-05,6.18705E-05,5.21531E-05,46.309197,85.84076474,1.0001,1.19,0.60069,0.64256,0.65632,0.65803,0.65819
sp|P00747|PLMN_HUMAN,P00747,Plasminogen,3,2.22569E-05,3.7923E-05,1.98358E-05,3.08559E-05,32.07782311,50.59290453,0.1511,0.64,1.4829,1.4127,1.4119,1.4104,1.4106
sp|P55058|PLTP_HUMAN,P55058,Phospholipid transfer protein,4,0.000137999,9.57596E-05,0.000164499,9.33762E-05,42.66948542,37.50426012,0.3101,1.76,1.2318,1.2445,1.2377,1.2363,1.2365
sp|P43490|NAMPT_HUMAN,P43490,Nicotinamide phosphoribosyltransferase,4,0.000292873,0.00021469,0.000236981,0.000213567,50.47072493,45.03087709,0.4211,1.11,0.97907,0.93602,0.95316,0.95197,0.9517
sp|P00918|CAH2_HUMAN,P00918,Carbonic anhydrase 2,6,0.000218682,9.4559E-05,0.000139344,9.36931E-05,113.6985671,12.19223417,0.6901,1.49,1.0403,0.9972,0.99297,0.99147,0.9915
sp|Q9NUQ9|CYRIB_HUMAN,Q9NUQ9,CYFIP-related Rac1 interactor B,4,7.53107E-05,4.24647E-05,4.58051E-05,5.12819E-05,117.2391447,42.82765219,0.8411,0.89,0.79615,0.75946,0.76483,0.76897,0.76878
sp|P29373|RABP2_HUMAN,P29373,Cellular retinoic acid-binding protein 2,3,7.52875E-05,8.3886E-05,6.30547E-05,5.65948E-05,55.5647795,84.08337062,0.8411,1.11,0.27589,0.36046,0.36167,0.36269,0.36565
sp|P16870|CBPE_HUMAN,P16870,Carboxypeptidase E,3,6.05169E-05,3.88261E-05,5.52963E-05,3.2295E-05,59.09890361,45.71813042,0.3101,1.71,1.1387,1.2102,1.205,1.2031,1.2029
sp|P18510|IL1RA_HUMAN,P18510,Interleukin-1 receptor antagonist protein,8,0.001417456,0.001238576,0.001142581,0.001357221,46.96395995,47.92886746,0.8411,0.84,0.41336,0.66526,0.66363,0.66278,0.66293
sp|P27105|STOM_HUMAN,P27105,Stomatin,5,0.000332452,0.000200779,0.000276605,0.00015271,81.94126585,55.99741158,0.6901,1.81,0.97223,0.92949,0.92779,0.93211,0.93184
sp|P84077|ARF1_HUMAN,P84077,ADP-ribosylation factor 1,3,0.000180259,0.000165201,0.000189375,0.000104107,38.16065365,97.63406353,0.4211,1.82,0.22257,0.38751,0.38807,0.38799,0.39043
sp|P12830|CADH1_HUMAN,P12830,Cadherin-1,3,5.49528E-05,5.17041E-05,3.8611E-05,3.63949E-05,72.53393267,62.16244236,1.0001,1.06,0.14976,0.52569,0.53446,0.53558,0.53551
sp|P04899|GNAI2_HUMAN,P04899,Guanine nucleotide-binding protein G(i) subunit alpha-2,2,6.42449E-05,2.962E-05,4.94814E-05,2.46583E-05,47.51203148,47.23978132,0.0561,2.01,1.8054,1.7217,1.7141,1.7115,1.7111
sp|P45880|VDAC2_HUMAN,P45880,Voltage-dependent anion-selective channel protein 2,5,0.000181056,0.000124346,0.000155402,0.000102037,39.17635721,43.17303974,0.4211,1.52,1.34,1.3373,1.3315,1.3302,1.3298
sp|P31151|S10A7_HUMAN,P31151,Protein S100-A7,5,0.000166243,0.000489088,0.000139719,0.000145134,40.95566957,161.416791,0.8411,0.96,0.87834,0.91073,0.90699,0.90702,0.90786
sp|P60900|PSA6_HUMAN,P60900,Proteasome subunit alpha type-6,4,8.49258E-05,7.23207E-05,7.03569E-05,7.10492E-05,66.97219985,58.13394579,1.0001,0.99,0.38824,0.56363,0.56112,0.56784,0.56779
sp|P04080|CYTB_HUMAN,P04080,Cystatin-B,3,0.000187548,0.000147332,0.000133119,0.000155885,49.12244067,49.33142876,0.6901,0.85,0.72435,0.8367,0.83222,0.83115,0.83147
sp|P31146|COR1A_HUMAN,P31146,Coronin-1A,3,0.000141012,6.68246E-05,6.10715E-05,8.06345E-05,134.5948083,37.08253285,0.8411,0.76,0.83761,0.79862,0.80895,0.81148,0.81125
sp|P31947|1433S_HUMAN,P31947,14-3-3 protein sigma,4,9.54558E-05,0.000126421,0.000100582,9.0132E-05,27.65263016,54.15321544,0.6901,1.12,0.95842,1.0283,1.0246,1.0242,1.0243
sp|P52790|HXK3_HUMAN,P52790,Hexokinase-3,3,4.72558E-05,4.24324E-05,4.00604E-05,4.34447E-05,39.10187934,10.18923403,1.0001,0.92,0.56442,0.58398,0.58745,0.58692,0.58675
sp|P62258|1433E_HUMAN,P62258,14-3-3 protein epsilon,4,5.39718E-05,7.8616E-05,4.8498E-05,7.12184E-05,35.88291885,43.74501851,0.2221,0.68,1.2632,1.2642,1.2607,1.2589,1.2591
sp|Q9UBR2|CATZ_HUMAN,Q9UBR2,Cathepsin Z,3,8.32604E-05,5.79524E-05,8.72217E-05,6.13782E-05,16.33418151,33.29012239,0.0561,1.42,1.8608,1.7726,1.7701,1.7678,1.7677
sp|O75223|GGCT_HUMAN,O75223,Gamma-glutamylcyclotransferase,1,1.40905E-05,1.41053E-05,1.39049E-05,1.64549E-05,33.29135777,41.34037275,1.0001,0.85,0.042071,0.53606,0.53343,0.53494,0.5348
sp|P22392|NDKB_HUMAN,P22392,Nucleoside diphosphate kinase B,1,2.58309E-05,1.71881E-05,2.26908E-05,1.82496E-05,50.23875046,68.53996526,0.4211,1.24,1.0771,1.0384,1.0327,1.034,1.034
sp|P28066|PSA5_HUMAN,P28066,Proteasome subunit alpha type-5,3,5.37229E-05,3.00626E-05,5.63611E-05,2.55168E-05,52.74394936,43.86328186,0.1511,2.21,1.4645,1.4163,1.4089,1.4071,1.407
